icd_code,event_norm_code,icd_version,long_title,dx_manual_dialysis,dx_hemodialysis_or_unspecified,dx_peritoneal_dialysis,dx_esrd,dx_heart_failure,dx_mi,dx_stroke
I63429,I63429,10,Cerebral infarction due to embolism of unspecified anterior cerebral artery,0,0,0,0,0,0,1
I63212,I63212,10,Cerebral infarction due to unspecified occlusion or stenosis of left vertebral artery,0,0,0,0,0,0,1
I636,I636,10,"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic",0,0,0,0,0,0,1
T85631A,T85631A,10,"Leakage of intraperitoneal dialysis catheter, initial encounter",0,0,1,0,0,0,0
I63011,I63011,10,Cerebral infarction due to thrombosis of right vertebral artery,0,0,0,0,0,0,1
I6339,I6339,10,Cerebral infarction due to thrombosis of other cerebral artery,0,0,0,0,0,0,1
I6021,I6021,10,Nontraumatic subarachnoid hemorrhage from right anterior communicating artery,0,0,0,0,0,0,1
I97131,I97131,10,Postprocedural heart failure following other surgery,0,0,0,0,1,0,0
I6350,I6350,10,Cerebral infarction due to unspecified occlusion or stenosis of unspecified cerebral artery,0,0,0,0,0,0,1
I63219,I63219,10,Cerebral infarction due to unspecified occlusion or stenosis of unspecified vertebral artery,0,0,0,0,0,0,1
I63322,I63322,10,Cerebral infarction due to thrombosis of left anterior cerebral artery,0,0,0,0,0,0,1
I6330,I6330,10,Cerebral infarction due to thrombosis of unspecified cerebral artery,0,0,0,0,0,0,1
I63039,I63039,10,Cerebral infarction due to thrombosis of unspecified carotid artery,0,0,0,0,0,0,1
I63543,I63543,10,Cerebral infarction due to unspecified occlusion or stenosis of bilateral cerebellar arteries,0,0,0,0,0,0,1
I219,I219,10,"Acute myocardial infarction, unspecified",0,0,0,0,0,1,0
I63321,I63321,10,Cerebral infarction due to thrombosis of right anterior cerebral artery,0,0,0,0,0,0,1
I63331,I63331,10,Cerebral infarction due to thrombosis of right posterior cerebral artery,0,0,0,0,0,0,1
I63332,I63332,10,Cerebral infarction due to thrombosis of left posterior cerebral artery,0,0,0,0,0,0,1
I221,I221,10,Subsequent ST elevation (STEMI) myocardial infarction of inferior wall,0,0,0,0,0,1,0
I6022,I6022,10,Nontraumatic subarachnoid hemorrhage from left anterior communicating artery,0,0,0,0,0,0,1
I501,I501,10,"Left ventricular failure, unspecified",0,0,0,0,1,0,0
I6300,I6300,10,Cerebral infarction due to thrombosis of unspecified precerebral artery,0,0,0,0,0,0,1
I63139,I63139,10,Cerebral infarction due to embolism of unspecified carotid artery,0,0,0,0,0,0,1
